promo_id,game_id,season,game_date,promo_name,promo_category,promo_type,primary_promo_flag,sponsor_attached_flag,giveaway_flag,fireworks_flag,theme_night_flag,family_flag,dog_day_flag,jersey_auction_flag,expected_fan_segment,source_id,public_data_flag,notes
PROMO_00117,TP_2024_019,2024,2024-05-21,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2024_WEEKLY_PROMOS,True,2024 Tuesday weekly promotion
PROMO_00118,TP_2024_020,2024,2024-05-22,Dog Days,weekly_promo,dog_day,True,False,False,False,False,False,True,False,dog_owners,SRC_2024_DOG_DAYS,True,Exact 2024 Dog Days date
PROMO_00119,TP_2024_021,2024,2024-05-23,Extended Happy Hour,weekly_promo,happy_hour,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2024_WEEKLY_PROMOS,True,2024 Thursday weekly promotion
PROMO_00120,TP_2024_022,2024,2024-05-24,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2024_SCHEDULE_RELEASE,True,2024 fireworks from official schedule release
PROMO_00121,TP_2024_023,2024,2024-05-25,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2024_SCHEDULE_RELEASE,True,2024 fireworks from official schedule release
PROMO_00122,TP_2024_024,2024,2024-05-26,Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,SRC_2024_WEEKLY_PROMOS,True,2024 Sunday weekly promotion
PROMO_00123,TP_2024_025,2024,2024-06-04,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2024_WEEKLY_PROMOS,True,2024 Tuesday weekly promotion
PROMO_00124,TP_2024_026,2024,2024-06-05,Dog Days,weekly_promo,dog_day,True,False,False,False,False,False,True,False,dog_owners,SRC_2024_DOG_DAYS,True,Exact 2024 Dog Days date
PROMO_00125,TP_2024_026,2024,2024-06-05,Sprocket Pencil Holder Bobblehead,bobblehead_giveaway,giveaway,False,False,True,False,True,False,False,False,collectors,SRC_2024_PREMIUM_GIVEAWAYS,True,2024 premium giveaway date
PROMO_00126,TP_2024_027,2024,2024-06-06,Extended Happy Hour,weekly_promo,happy_hour,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2024_WEEKLY_PROMOS,True,2024 Thursday weekly promotion
PROMO_00127,TP_2024_028,2024,2024-06-07,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2024_SCHEDULE_RELEASE,True,2024 fireworks from official schedule release
PROMO_00128,TP_2024_029,2024,2024-06-08,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2024_SCHEDULE_RELEASE,True,2024 fireworks from official schedule release
PROMO_00129,TP_2024_030,2024,2024-06-09,Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,SRC_2024_WEEKLY_PROMOS,True,2024 Sunday weekly promotion
PROMO_00130,TP_2024_031,2024,2024-06-18,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2024_WEEKLY_PROMOS,True,2024 Tuesday weekly promotion
PROMO_00131,TP_2024_032,2024,2024-06-19,Dog Days,weekly_promo,dog_day,True,False,False,False,False,False,True,False,dog_owners,SRC_2024_DOG_DAYS,True,Exact 2024 Dog Days date
PROMO_00132,TP_2024_033,2024,2024-06-20,Extended Happy Hour,weekly_promo,happy_hour,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2024_WEEKLY_PROMOS,True,2024 Thursday weekly promotion
PROMO_00133,TP_2024_034,2024,2024-06-21,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2024_SCHEDULE_RELEASE,True,2024 fireworks from official schedule release
PROMO_00134,TP_2024_035,2024,2024-06-22,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2024_SCHEDULE_RELEASE,True,2024 fireworks from official schedule release
PROMO_00135,TP_2024_036,2024,2024-06-23,Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,SRC_2024_WEEKLY_PROMOS,True,2024 Sunday weekly promotion
PROMO_00136,TP_2024_036,2024,2024-06-23,Astronaut Racer Mae Bobblehead,bobblehead_giveaway,giveaway,False,False,True,False,True,False,False,False,collectors,SRC_2024_PREMIUM_GIVEAWAYS,True,2024 premium giveaway date
PROMO_00137,TP_2024_037,2024,2024-07-04,Extended Happy Hour,weekly_promo,happy_hour,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2024_WEEKLY_PROMOS,True,2024 Thursday weekly promotion
PROMO_00138,TP_2024_037,2024,2024-07-04,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2024_SCHEDULE_RELEASE,True,2024 fireworks from official schedule release
PROMO_00139,TP_2024_038,2024,2024-07-05,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2024_SCHEDULE_RELEASE,True,2024 fireworks from official schedule release
PROMO_00140,TP_2024_039,2024,2024-07-06,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2024_SCHEDULE_RELEASE,True,2024 fireworks from official schedule release
PROMO_00141,TP_2024_040,2024,2024-07-09,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2024_WEEKLY_PROMOS,True,2024 Tuesday weekly promotion
PROMO_00142,TP_2024_041,2024,2024-07-10,Dog Days,weekly_promo,dog_day,True,False,False,False,False,False,True,False,dog_owners,SRC_2024_DOG_DAYS,True,Exact 2024 Dog Days date
PROMO_00143,TP_2024_042,2024,2024-07-11,Extended Happy Hour,weekly_promo,happy_hour,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2024_WEEKLY_PROMOS,True,2024 Thursday weekly promotion
PROMO_00144,TP_2024_043,2024,2024-07-12,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2024_SCHEDULE_RELEASE,True,2024 fireworks from official schedule release
PROMO_00145,TP_2024_044,2024,2024-07-13,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2024_SCHEDULE_RELEASE,True,2024 fireworks from official schedule release
PROMO_00146,TP_2024_045,2024,2024-07-14,Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,SRC_2024_WEEKLY_PROMOS,True,2024 Sunday weekly promotion
PROMO_00147,TP_2024_046,2024,2024-07-23,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2024_WEEKLY_PROMOS,True,2024 Tuesday weekly promotion
PROMO_00148,TP_2024_047,2024,2024-07-24,Dog Days,weekly_promo,dog_day,True,False,False,False,False,False,True,False,dog_owners,SRC_2024_DOG_DAYS,True,Exact 2024 Dog Days date
PROMO_00149,TP_2024_048,2024,2024-07-25,Extended Happy Hour,weekly_promo,happy_hour,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2024_WEEKLY_PROMOS,True,2024 Thursday weekly promotion
PROMO_00150,TP_2024_049,2024,2024-07-26,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2024_SCHEDULE_RELEASE,True,2024 fireworks from official schedule release
PROMO_00151,TP_2024_050,2024,2024-07-27,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2024_SCHEDULE_RELEASE,True,2024 fireworks from official schedule release
PROMO_00152,TP_2024_051,2024,2024-07-28,Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,SRC_2024_WEEKLY_PROMOS,True,2024 Sunday weekly promotion
PROMO_00153,TP_2024_052,2024,2024-08-06,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2024_WEEKLY_PROMOS,True,2024 Tuesday weekly promotion
PROMO_00154,TP_2024_052,2024,2024-08-06,Trash Pandas Jersey Giveaway,jersey_giveaway,giveaway,False,False,True,False,True,False,False,False,collectors,SRC_2024_PREMIUM_GIVEAWAYS,True,2024 premium giveaway date
PROMO_00155,TP_2024_053,2024,2024-08-07,Dog Days,weekly_promo,dog_day,True,False,False,False,False,False,True,False,dog_owners,SRC_2024_DOG_DAYS,True,Exact 2024 Dog Days date
PROMO_00156,TP_2024_054,2024,2024-08-08,Extended Happy Hour,weekly_promo,happy_hour,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2024_WEEKLY_PROMOS,True,2024 Thursday weekly promotion
PROMO_00157,TP_2024_055,2024,2024-08-09,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2024_SCHEDULE_RELEASE,True,2024 fireworks from official schedule release
PROMO_00158,TP_2024_056,2024,2024-08-10,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2024_SCHEDULE_RELEASE,True,2024 fireworks from official schedule release
PROMO_00159,TP_2024_057,2024,2024-08-11,Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,SRC_2024_WEEKLY_PROMOS,True,2024 Sunday weekly promotion
PROMO_00160,TP_2024_057,2024,2024-08-11,Lunaticos Sugar Skull Bobblehead,bobblehead_giveaway,giveaway,False,False,True,False,True,False,False,False,collectors,SRC_2024_PREMIUM_GIVEAWAYS,True,2024 premium giveaway date
PROMO_00161,TP_2024_058,2024,2024-08-27,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2024_WEEKLY_PROMOS,True,2024 Tuesday weekly promotion
PROMO_00162,TP_2024_059,2024,2024-08-28,Dog Days,weekly_promo,dog_day,True,False,False,False,False,False,True,False,dog_owners,SRC_2024_DOG_DAYS,True,Exact 2024 Dog Days date
PROMO_00163,TP_2024_059,2024,2024-08-28,Trash Pandas Jersey Giveaway,jersey_giveaway,giveaway,False,False,True,False,True,False,False,False,collectors,SRC_2024_PREMIUM_GIVEAWAYS,True,2024 premium giveaway date
PROMO_00164,TP_2024_060,2024,2024-08-29,Extended Happy Hour,weekly_promo,happy_hour,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2024_WEEKLY_PROMOS,True,2024 Thursday weekly promotion
PROMO_00165,TP_2024_061,2024,2024-08-30,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2024_SCHEDULE_RELEASE,True,2024 fireworks from official schedule release
PROMO_00166,TP_2024_062,2024,2024-08-31,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2024_SCHEDULE_RELEASE,True,2024 fireworks from official schedule release
PROMO_00167,TP_2024_063,2024,2024-09-01,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2024_SCHEDULE_RELEASE,True,2024 fireworks from official schedule release
PROMO_00168,TP_2024_063,2024,2024-09-01,Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,SRC_2024_WEEKLY_PROMOS,True,2024 Sunday weekly promotion
PROMO_00169,TP_2024_064,2024,2024-09-03,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2024_WEEKLY_PROMOS,True,2024 Tuesday weekly promotion
PROMO_00170,TP_2024_065,2024,2024-09-04,Dog Days,weekly_promo,dog_day,True,False,False,False,False,False,True,False,dog_owners,SRC_2024_DOG_DAYS,True,Exact 2024 Dog Days date
PROMO_00171,TP_2024_066,2024,2024-09-05,Extended Happy Hour,weekly_promo,happy_hour,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2024_WEEKLY_PROMOS,True,2024 Thursday weekly promotion
PROMO_00172,TP_2024_067,2024,2024-09-06,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2024_SCHEDULE_RELEASE,True,2024 fireworks from official schedule release
PROMO_00173,TP_2024_068,2024,2024-09-07,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2024_SCHEDULE_RELEASE,True,2024 fireworks from official schedule release
PROMO_00174,TP_2024_069,2024,2024-09-08,Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,SRC_2024_WEEKLY_PROMOS,True,2024 Sunday weekly promotion
PROMO_00175,TP_2025_001,2025,2025-04-04,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 all Friday and known select fireworks dates from official weekly promotion release
PROMO_00176,TP_2025_002,2025,2025-04-05,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 all Friday and known select fireworks dates from official weekly promotion release
PROMO_00177,TP_2025_003,2025,2025-04-06,Pregame Autographs and Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 Sunday weekly promotion
PROMO_00178,TP_2025_004,2025,2025-04-08,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Tuesday weekly promotion
PROMO_00179,TP_2025_005,2025,2025-04-09,Tito's Dog Days,weekly_promo,dog_day,True,True,False,False,False,False,True,False,dog_owners,SRC_2025_WEEKLY_PROMOS,True,2025 Wednesday weekly promotion
PROMO_00180,TP_2025_006,2025,2025-04-10,Throwback Thursday,weekly_promo,throwback_thursday,True,False,False,False,True,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Thursday weekly promotion
PROMO_00181,TP_2025_007,2025,2025-04-11,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 all Friday and known select fireworks dates from official weekly promotion release
PROMO_00182,TP_2025_009,2025,2025-04-13,Pregame Autographs and Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 Sunday weekly promotion
PROMO_00183,TP_2025_010,2025,2025-04-22,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Tuesday weekly promotion
PROMO_00184,TP_2025_011,2025,2025-04-23,Tito's Dog Days,weekly_promo,dog_day,True,True,False,False,False,False,True,False,dog_owners,SRC_2025_WEEKLY_PROMOS,True,2025 Wednesday weekly promotion
PROMO_00185,TP_2025_012,2025,2025-04-24,Throwback Thursday,weekly_promo,throwback_thursday,True,False,False,False,True,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Thursday weekly promotion
PROMO_00186,TP_2025_013,2025,2025-04-25,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 all Friday and known select fireworks dates from official weekly promotion release
PROMO_00187,TP_2025_015,2025,2025-04-27,Pregame Autographs and Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 Sunday weekly promotion
PROMO_00188,TP_2025_016,2025,2025-05-06,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Tuesday weekly promotion
PROMO_00189,TP_2025_017,2025,2025-05-07,Tito's Dog Days,weekly_promo,dog_day,True,True,False,False,False,False,True,False,dog_owners,SRC_2025_WEEKLY_PROMOS,True,2025 Wednesday weekly promotion
PROMO_00190,TP_2025_018,2025,2025-05-08,Throwback Thursday,weekly_promo,throwback_thursday,True,False,False,False,True,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Thursday weekly promotion
PROMO_00191,TP_2025_019,2025,2025-05-09,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 all Friday and known select fireworks dates from official weekly promotion release
PROMO_00192,TP_2025_021,2025,2025-05-11,Pregame Autographs and Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 Sunday weekly promotion
PROMO_00193,TP_2025_022,2025,2025-05-27,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Tuesday weekly promotion
PROMO_00194,TP_2025_023,2025,2025-05-28,Tito's Dog Days,weekly_promo,dog_day,True,True,False,False,False,False,True,False,dog_owners,SRC_2025_WEEKLY_PROMOS,True,2025 Wednesday weekly promotion
PROMO_00195,TP_2025_024,2025,2025-05-29,Throwback Thursday,weekly_promo,throwback_thursday,True,False,False,False,True,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Thursday weekly promotion
PROMO_00196,TP_2025_025,2025,2025-05-30,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 all Friday and known select fireworks dates from official weekly promotion release
PROMO_00197,TP_2025_027,2025,2025-06-01,Pregame Autographs and Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 Sunday weekly promotion
PROMO_00198,TP_2025_028,2025,2025-06-10,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Tuesday weekly promotion
PROMO_00199,TP_2025_029,2025,2025-06-11,Tito's Dog Days,weekly_promo,dog_day,True,True,False,False,False,False,True,False,dog_owners,SRC_2025_WEEKLY_PROMOS,True,2025 Wednesday weekly promotion
PROMO_00200,TP_2025_030,2025,2025-06-12,Throwback Thursday,weekly_promo,throwback_thursday,True,False,False,False,True,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Thursday weekly promotion
PROMO_00201,TP_2025_031,2025,2025-06-13,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 all Friday and known select fireworks dates from official weekly promotion release
PROMO_00202,TP_2025_033,2025,2025-06-15,Pregame Autographs and Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 Sunday weekly promotion
PROMO_00203,TP_2025_034,2025,2025-06-17,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Tuesday weekly promotion
PROMO_00204,TP_2025_035,2025,2025-06-18,Tito's Dog Days,weekly_promo,dog_day,True,True,False,False,False,False,True,False,dog_owners,SRC_2025_WEEKLY_PROMOS,True,2025 Wednesday weekly promotion
PROMO_00205,TP_2025_036,2025,2025-06-19,Throwback Thursday,weekly_promo,throwback_thursday,True,False,False,False,True,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Thursday weekly promotion
PROMO_00206,TP_2025_037,2025,2025-06-20,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 all Friday and known select fireworks dates from official weekly promotion release
PROMO_00207,TP_2025_039,2025,2025-06-22,Pregame Autographs and Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 Sunday weekly promotion
PROMO_00208,TP_2025_040,2025,2025-07-01,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Tuesday weekly promotion
PROMO_00209,TP_2025_041,2025,2025-07-02,Tito's Dog Days,weekly_promo,dog_day,True,True,False,False,False,False,True,False,dog_owners,SRC_2025_WEEKLY_PROMOS,True,2025 Wednesday weekly promotion
PROMO_00210,TP_2025_042,2025,2025-07-03,Throwback Thursday,weekly_promo,throwback_thursday,True,False,False,False,True,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Thursday weekly promotion
PROMO_00211,TP_2025_042,2025,2025-07-03,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 all Friday and known select fireworks dates from official weekly promotion release
PROMO_00212,TP_2025_043,2025,2025-07-18,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 all Friday and known select fireworks dates from official weekly promotion release
PROMO_00213,TP_2025_045,2025,2025-07-20,Pregame Autographs and Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 Sunday weekly promotion
PROMO_00214,TP_2025_046,2025,2025-07-29,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Tuesday weekly promotion
PROMO_00215,TP_2025_047,2025,2025-07-30,Tito's Dog Days,weekly_promo,dog_day,True,True,False,False,False,False,True,False,dog_owners,SRC_2025_WEEKLY_PROMOS,True,2025 Wednesday weekly promotion
PROMO_00216,TP_2025_048,2025,2025-07-31,Throwback Thursday,weekly_promo,throwback_thursday,True,False,False,False,True,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Thursday weekly promotion
PROMO_00217,TP_2025_049,2025,2025-08-01,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 all Friday and known select fireworks dates from official weekly promotion release
PROMO_00218,TP_2025_051,2025,2025-08-03,Pregame Autographs and Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 Sunday weekly promotion
PROMO_00219,TP_2025_052,2025,2025-08-12,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Tuesday weekly promotion
PROMO_00220,TP_2025_053,2025,2025-08-13,Tito's Dog Days,weekly_promo,dog_day,True,True,False,False,False,False,True,False,dog_owners,SRC_2025_WEEKLY_PROMOS,True,2025 Wednesday weekly promotion
PROMO_00221,TP_2025_054,2025,2025-08-14,Throwback Thursday,weekly_promo,throwback_thursday,True,False,False,False,True,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Thursday weekly promotion
PROMO_00222,TP_2025_055,2025,2025-08-15,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 all Friday and known select fireworks dates from official weekly promotion release
PROMO_00223,TP_2025_057,2025,2025-08-17,Pregame Autographs and Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 Sunday weekly promotion
PROMO_00224,TP_2025_058,2025,2025-08-26,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Tuesday weekly promotion
PROMO_00225,TP_2025_059,2025,2025-08-27,Tito's Dog Days,weekly_promo,dog_day,True,True,False,False,False,False,True,False,dog_owners,SRC_2025_WEEKLY_PROMOS,True,2025 Wednesday weekly promotion
PROMO_00226,TP_2025_060,2025,2025-08-28,Throwback Thursday,weekly_promo,throwback_thursday,True,False,False,False,True,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Thursday weekly promotion
PROMO_00227,TP_2025_061,2025,2025-08-29,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 all Friday and known select fireworks dates from official weekly promotion release
PROMO_00228,TP_2025_063,2025,2025-08-31,Pregame Autographs and Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 Sunday weekly promotion
PROMO_00229,TP_2025_064,2025,2025-09-09,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Tuesday weekly promotion
PROMO_00230,TP_2025_065,2025,2025-09-10,Tito's Dog Days,weekly_promo,dog_day,True,True,False,False,False,False,True,False,dog_owners,SRC_2025_WEEKLY_PROMOS,True,2025 Wednesday weekly promotion
PROMO_00231,TP_2025_066,2025,2025-09-11,Throwback Thursday,weekly_promo,throwback_thursday,True,False,False,False,True,False,False,False,adult_social_fans,SRC_2025_WEEKLY_PROMOS,True,2025 Thursday weekly promotion
PROMO_00232,TP_2025_067,2025,2025-09-12,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 all Friday and known select fireworks dates from official weekly promotion release
PROMO_00233,TP_2025_069,2025,2025-09-14,Pregame Autographs and Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,SRC_2025_WEEKLY_PROMOS,True,2025 Sunday weekly promotion
