game_id,season,game_date,home_away,opponent,day_of_week,start_time,homestand_id,series_id,game_number_in_homestand,month,weekend_flag,holiday_flag,source_id,public_data_flag,notes
TP_2024_065,2024,2024-09-04,Home,Biloxi,Wednesday,,2024_HS_12,2024_HS_12_BILOXI,2,9,False,False,SRC_2024_SCHEDULE_RELEASE,True,Home game from official 2024 schedule release and printable schedule
TP_2024_066,2024,2024-09-05,Home,Biloxi,Thursday,,2024_HS_12,2024_HS_12_BILOXI,3,9,False,False,SRC_2024_SCHEDULE_RELEASE,True,Home game from official 2024 schedule release and printable schedule
TP_2024_067,2024,2024-09-06,Home,Biloxi,Friday,,2024_HS_12,2024_HS_12_BILOXI,4,9,True,False,SRC_2024_SCHEDULE_RELEASE,True,Home game from official 2024 schedule release and printable schedule
TP_2024_068,2024,2024-09-07,Home,Biloxi,Saturday,,2024_HS_12,2024_HS_12_BILOXI,5,9,True,False,SRC_2024_SCHEDULE_RELEASE,True,Home game from official 2024 schedule release and printable schedule
TP_2024_069,2024,2024-09-08,Home,Biloxi,Sunday,,2024_HS_12,2024_HS_12_BILOXI,6,9,True,False,SRC_2024_SCHEDULE_RELEASE,True,Home game from official 2024 schedule release and printable schedule
TP_2025_001,2025,2025-04-04,Home,Chattanooga,Friday,,2025_HS_01,2025_HS_01_CHATTANOOGA,1,4,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_002,2025,2025-04-05,Home,Chattanooga,Saturday,,2025_HS_01,2025_HS_01_CHATTANOOGA,2,4,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_003,2025,2025-04-06,Home,Chattanooga,Sunday,,2025_HS_01,2025_HS_01_CHATTANOOGA,3,4,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_004,2025,2025-04-08,Home,Tennessee,Tuesday,,2025_HS_01,2025_HS_01_TENNESSEE,4,4,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_005,2025,2025-04-09,Home,Tennessee,Wednesday,,2025_HS_01,2025_HS_01_TENNESSEE,5,4,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_006,2025,2025-04-10,Home,Tennessee,Thursday,,2025_HS_01,2025_HS_01_TENNESSEE,6,4,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_007,2025,2025-04-11,Home,Tennessee,Friday,,2025_HS_01,2025_HS_01_TENNESSEE,7,4,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_008,2025,2025-04-12,Home,Tennessee,Saturday,,2025_HS_01,2025_HS_01_TENNESSEE,8,4,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_009,2025,2025-04-13,Home,Tennessee,Sunday,,2025_HS_01,2025_HS_01_TENNESSEE,9,4,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_010,2025,2025-04-22,Home,Birmingham,Tuesday,,2025_HS_02,2025_HS_02_BIRMINGHAM,1,4,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_011,2025,2025-04-23,Home,Birmingham,Wednesday,,2025_HS_02,2025_HS_02_BIRMINGHAM,2,4,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_012,2025,2025-04-24,Home,Birmingham,Thursday,,2025_HS_02,2025_HS_02_BIRMINGHAM,3,4,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_013,2025,2025-04-25,Home,Birmingham,Friday,,2025_HS_02,2025_HS_02_BIRMINGHAM,4,4,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_014,2025,2025-04-26,Home,Birmingham,Saturday,,2025_HS_02,2025_HS_02_BIRMINGHAM,5,4,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_015,2025,2025-04-27,Home,Birmingham,Sunday,,2025_HS_02,2025_HS_02_BIRMINGHAM,6,4,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_016,2025,2025-05-06,Home,Montgomery,Tuesday,,2025_HS_03,2025_HS_03_MONTGOMERY,1,5,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_017,2025,2025-05-07,Home,Montgomery,Wednesday,,2025_HS_03,2025_HS_03_MONTGOMERY,2,5,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_018,2025,2025-05-08,Home,Montgomery,Thursday,,2025_HS_03,2025_HS_03_MONTGOMERY,3,5,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_019,2025,2025-05-09,Home,Montgomery,Friday,,2025_HS_03,2025_HS_03_MONTGOMERY,4,5,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_020,2025,2025-05-10,Home,Montgomery,Saturday,,2025_HS_03,2025_HS_03_MONTGOMERY,5,5,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_021,2025,2025-05-11,Home,Montgomery,Sunday,,2025_HS_03,2025_HS_03_MONTGOMERY,6,5,True,True,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_022,2025,2025-05-27,Home,Biloxi,Tuesday,,2025_HS_04,2025_HS_04_BILOXI,1,5,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_023,2025,2025-05-28,Home,Biloxi,Wednesday,,2025_HS_04,2025_HS_04_BILOXI,2,5,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_024,2025,2025-05-29,Home,Biloxi,Thursday,,2025_HS_04,2025_HS_04_BILOXI,3,5,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_025,2025,2025-05-30,Home,Biloxi,Friday,,2025_HS_04,2025_HS_04_BILOXI,4,5,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_026,2025,2025-05-31,Home,Biloxi,Saturday,,2025_HS_04,2025_HS_04_BILOXI,5,5,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_027,2025,2025-06-01,Home,Biloxi,Sunday,,2025_HS_04,2025_HS_04_BILOXI,6,6,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_028,2025,2025-06-10,Home,Pensacola,Tuesday,,2025_HS_05,2025_HS_05_PENSACOLA,1,6,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_029,2025,2025-06-11,Home,Pensacola,Wednesday,,2025_HS_05,2025_HS_05_PENSACOLA,2,6,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_030,2025,2025-06-12,Home,Pensacola,Thursday,,2025_HS_05,2025_HS_05_PENSACOLA,3,6,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_031,2025,2025-06-13,Home,Pensacola,Friday,,2025_HS_05,2025_HS_05_PENSACOLA,4,6,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_032,2025,2025-06-14,Home,Pensacola,Saturday,,2025_HS_05,2025_HS_05_PENSACOLA,5,6,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_033,2025,2025-06-15,Home,Pensacola,Sunday,,2025_HS_05,2025_HS_05_PENSACOLA,6,6,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_034,2025,2025-06-17,Home,Chattanooga,Tuesday,,2025_HS_05,2025_HS_05_CHATTANOOGA,7,6,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_035,2025,2025-06-18,Home,Chattanooga,Wednesday,,2025_HS_05,2025_HS_05_CHATTANOOGA,8,6,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_036,2025,2025-06-19,Home,Chattanooga,Thursday,,2025_HS_05,2025_HS_05_CHATTANOOGA,9,6,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_037,2025,2025-06-20,Home,Chattanooga,Friday,,2025_HS_05,2025_HS_05_CHATTANOOGA,10,6,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_038,2025,2025-06-21,Home,Chattanooga,Saturday,,2025_HS_05,2025_HS_05_CHATTANOOGA,11,6,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_039,2025,2025-06-22,Home,Chattanooga,Sunday,,2025_HS_05,2025_HS_05_CHATTANOOGA,12,6,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_040,2025,2025-07-01,Home,Tennessee,Tuesday,,2025_HS_06,2025_HS_06_TENNESSEE,1,7,False,True,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_041,2025,2025-07-02,Home,Tennessee,Wednesday,,2025_HS_06,2025_HS_06_TENNESSEE,2,7,False,True,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_042,2025,2025-07-03,Home,Tennessee,Thursday,,2025_HS_06,2025_HS_06_TENNESSEE,3,7,False,True,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_043,2025,2025-07-18,Home,Columbus,Friday,,2025_HS_07,2025_HS_07_COLUMBUS,1,7,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_044,2025,2025-07-19,Home,Columbus,Saturday,,2025_HS_07,2025_HS_07_COLUMBUS,2,7,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_045,2025,2025-07-20,Home,Columbus,Sunday,,2025_HS_07,2025_HS_07_COLUMBUS,3,7,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_046,2025,2025-07-29,Home,Birmingham,Tuesday,,2025_HS_08,2025_HS_08_BIRMINGHAM,1,7,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_047,2025,2025-07-30,Home,Birmingham,Wednesday,,2025_HS_08,2025_HS_08_BIRMINGHAM,2,7,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_048,2025,2025-07-31,Home,Birmingham,Thursday,,2025_HS_08,2025_HS_08_BIRMINGHAM,3,7,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_049,2025,2025-08-01,Home,Birmingham,Friday,,2025_HS_08,2025_HS_08_BIRMINGHAM,4,8,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_050,2025,2025-08-02,Home,Birmingham,Saturday,,2025_HS_08,2025_HS_08_BIRMINGHAM,5,8,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_051,2025,2025-08-03,Home,Birmingham,Sunday,,2025_HS_08,2025_HS_08_BIRMINGHAM,6,8,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_052,2025,2025-08-12,Home,Tennessee,Tuesday,,2025_HS_09,2025_HS_09_TENNESSEE,1,8,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_053,2025,2025-08-13,Home,Tennessee,Wednesday,,2025_HS_09,2025_HS_09_TENNESSEE,2,8,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_054,2025,2025-08-14,Home,Tennessee,Thursday,,2025_HS_09,2025_HS_09_TENNESSEE,3,8,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_055,2025,2025-08-15,Home,Tennessee,Friday,,2025_HS_09,2025_HS_09_TENNESSEE,4,8,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_056,2025,2025-08-16,Home,Tennessee,Saturday,,2025_HS_09,2025_HS_09_TENNESSEE,5,8,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_057,2025,2025-08-17,Home,Tennessee,Sunday,,2025_HS_09,2025_HS_09_TENNESSEE,6,8,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_058,2025,2025-08-26,Home,Columbus,Tuesday,,2025_HS_10,2025_HS_10_COLUMBUS,1,8,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_059,2025,2025-08-27,Home,Columbus,Wednesday,,2025_HS_10,2025_HS_10_COLUMBUS,2,8,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_060,2025,2025-08-28,Home,Columbus,Thursday,,2025_HS_10,2025_HS_10_COLUMBUS,3,8,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_061,2025,2025-08-29,Home,Columbus,Friday,,2025_HS_10,2025_HS_10_COLUMBUS,4,8,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_062,2025,2025-08-30,Home,Columbus,Saturday,,2025_HS_10,2025_HS_10_COLUMBUS,5,8,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_063,2025,2025-08-31,Home,Columbus,Sunday,,2025_HS_10,2025_HS_10_COLUMBUS,6,8,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_064,2025,2025-09-09,Home,Chattanooga,Tuesday,,2025_HS_11,2025_HS_11_CHATTANOOGA,1,9,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_065,2025,2025-09-10,Home,Chattanooga,Wednesday,,2025_HS_11,2025_HS_11_CHATTANOOGA,2,9,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_066,2025,2025-09-11,Home,Chattanooga,Thursday,,2025_HS_11,2025_HS_11_CHATTANOOGA,3,9,False,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_067,2025,2025-09-12,Home,Chattanooga,Friday,,2025_HS_11,2025_HS_11_CHATTANOOGA,4,9,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_068,2025,2025-09-13,Home,Chattanooga,Saturday,,2025_HS_11,2025_HS_11_CHATTANOOGA,5,9,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
TP_2025_069,2025,2025-09-14,Home,Chattanooga,Sunday,,2025_HS_11,2025_HS_11_CHATTANOOGA,6,9,True,False,SRC_2025_SCHEDULE_RELEASE,True,Home game from official 2025 schedule release
